id,osmId,osm_type,name,stars,rooms,beds,phone,email,website,addr_city,addr_street,addr_housenumber,addr_postcode,latitude,longitude
1,274085436,node,Albergo Comparsa,,,,,,,,,,,46.09396,11.2339457
2,274085444,node,Belvedere,,,,,,,,,,,46.0958868,11.2346791
3,283352615,node,Hotel Kronplatz,3S,,,+39 0474 496173,info@hotel-kronplatz.com,https://www.hotel-kronplatz.com,Olang - Valdaora,Via Parrocchia,4,39030,46.7674381,12.0178028
4,283352618,node,Christof Hotel,4,,,+39 0474 592026,info@hotelchristoph.it,https://www.hotelchristoph.it/,Olang - Valdaora,Weiler Gassl,25,39030,46.7483537,12.0113187
5,288469484,node,Kirchenwirt,3,,,+39 0474 972195,info@kirchenwirt.it,https://www.kirchenwirt.it/,Toblach - Dobbiaco,Aufkirchen - Santa Maria,5,39034,46.7438034,12.2045183
6,288469485,node,Bärenhotel,5,,,+39 388 328 88 88,info@baerenhotel.com,https://www.baerenhotel.com,Olang - Valdaora,Furkelstraße - Via Furcia,11,39030,46.7474502,12.0033642
7,288471881,node,Hotel Trenker,4,,,+39 0474 748629,info@trenker.it,https://www.trenker.it/,Prags - Braies,Sankt Veit - Via San Vito,13,39030,46.7119259,12.09651
8,288471882,node,Hotel Pragserhof,3,,,+39 0474 748624,info@pragserhof.com,https://www.pragserhof.com/,Prags - Braies,Sankt Veit - Via San Vito,35,39030,46.7121502,12.0970212
9,289741265,node,Hotel Peter,,,,+39 0471 615143,info@hotel-peter.it,https://www.hotel-peter.it/,,,,,46.397163,11.3888971
10,292339575,node,Hotel Pfeldererhof,4,31,,+39 0473 646706,info@pfeldererhof.it,https://www.pfeldererhof.it/,,,,,46.7951098,11.0904064
11,292513330,node,Lüsnerhof,,,,,,https://www.luesnerhof.it/,Lüsen - Luson,Rungger Straße,20,39040,46.7462363,11.7764827
12,293127768,node,Hotel Monclassico,3,,,+39 0463 970290,hotelmonclassicodimaro@gmail.com,https://www.hotelmonclassico.com/,Monclassico,Via Nazionale,582a,38020,46.3361897,10.8924208
13,297715420,node,Schwarz Adler Turmhotel,,,,,,,,,,,46.3132194,11.2232353
14,297716377,node,Hof im Feld,,,,,,,,,,,46.3089452,11.2212547
15,299487253,node,Rosengarten,,,,+390471613262,info@hotelrosengarten.it,https://www.hotelrosengarten.it,,,,,46.4378412,11.5599468
16,299494855,node,Grand Hotel Carezza,,,,,,,Welschnofen - Nova Levante,Karerseestraße - Strada Carezza,145,39056,46.4071717,11.5851556
17,299495954,node,Berger,3S,,,+39 0474 672507,info@hotelberger.it,https://www.hotelberger.it/,Sand in Taufers - Campo Tures,Reintalstraße - Via Riva di Tures,153,39030,46.9475212,12.0608995
18,299924943,node,Albergo Brenta,,,,+393474449965,albergobrenta@hotmail.it,https://www.albergobrenta.it,Bleggio Inferiore,Val d'Algogne,,38071,46.119308,10.806969
19,303781634,node,Albergo Vinella,,,,,,,,,,,46.3173264,11.5973669
20,303826367,node,Active Hotel Rosat,,,,+39 0462 501239,info@activehotelrosat.it,https://www.activehotelrosat.it/,Predazzo,Via Garibaldi,,38037,46.3117127,11.60182
21,303828156,node,Sass Maor,,,,,,,,,,,46.3092005,11.6021818
22,303828160,node,Ancora,,,,,,,,,,,46.3110803,11.6026669
23,303832089,node,Liz,,,,,,,,,,,46.307129,11.6001663
24,303832099,node,Majestic,,,,,,,,,,,46.3065591,11.598401
25,304633078,node,Hotel La Montanara,,,,,,,,,,,46.2316634,10.8255392
26,304739062,node,Schloss Hotel Wehrburg - Hotel Castello Wehrburg,,,,,,https://www.wehrburg.com/,,,,,46.5489887,11.1857913
27,305506280,node,Hotel Dolasilla,3S,,,+39 0462 764159,info@hoteldolasilla.com,https://hoteldolasilla.com,Vigo di Fassa,Strada Neva,4,38039,46.4207905,11.6753206
28,305506285,node,Hotel Cristallo,,,,+39 0462 764041,,,Vigo di Fassa,Strada Neva,40,38039,46.4188185,11.6748934
29,305506288,node,Hotel Garni Enrosadira,,,,+39 0462 764602,info@garnienrosadira.it,https://www.garnienrosadira.it/,Vigo di Fassa,Strada Neva,28,38039,46.4195711,11.675226
30,305506291,node,Hotel Latemar Spitze,,,,+39 0462 764162,info@hotellatemar.com,https://www.hotellatemar.com,San Giovanni di Fassa,Strada de Coltura,2,38036,46.4192615,11.674348
31,305506305,node,Hotel Sole,3S,,,+39 0462 764042,info@hotel-sonne-sole.it,http://www.hotel-sonne-sole.it/,Vigo di Fassa,Strada de Semal,12,38036,46.41842,11.6728619
32,305506966,node,Hotel Rosa,3,,,+39 0462 764486,info@hotelrosa.biz,http://www.hotelrosa.biz/it/,Vigo di Fassa,Strada Rezia,5,38039,46.419859,11.6726329
33,312152850,node,Centrale,3,,,+39 0464 505234,,https://www.hotelcentraletorbole.it/,,Piazza Goethe,14,,45.8693712,10.8765605
34,317054679,node,Hotel Daniela,,,,,,,Levico Terme,Viale Venezia,3,38056,46.008633,11.3062959
35,317522892,node,Albergo Villa Flora,,,,,,,,,,,46.0073535,11.3063993
36,317526677,node,Paoli Hotel - Antica Trattoria alla Vedova,,,,,,,,,,,45.9886994,11.3006401
37,319273971,node,Sporthotel Spögler,4,,,,,,,,,,46.5438472,11.4682804
38,319828157,node,Ansitz Feldererhof,,,,,,,,,,,46.4171432,11.2415405
39,333327990,node,Hotel Concordia,,,,,,,,,,,46.0130251,11.2973785
40,333786640,node,TH 1400,3,,,+39 0463 796544,1400@th-resorts.com,https://www.hotelmarilleva1400.it/,Mezzana,Via per Marilleva,,38020,46.3015001,10.811099
41,333790689,node,Albergo Dimaro,3S,,,+39 0463 974375,info@dimarohotel.it,https://albergodimaro.it/,Dimaro Folgarida,Via Campiglio,78,38025,46.3268649,10.8725831
42,333791378,node,Albergo Genzianella,,,,,,,,,,,46.2600801,10.8551274
43,333791571,node,Majestic Mountain,,,,,,,,,,,46.2306064,10.8267493
44,334787448,node,Al pescatore,,,,,,,,,,,46.3824461,10.9721387
45,338894655,node,"Albergo ""Al Cacciatore""",,,,,,,,,,,46.1977206,11.8648297
46,344396150,node,Albergo Aurora,,,,,,,,,,,46.0106528,11.2997356
47,345701106,node,Hotel Sport,,,,,,,,,,,46.012125,11.2902546
48,354596380,node,Albergo Al Salus,,,,,,,,,,,46.0141956,11.2963314
49,354927596,node,Hotel Miralago,,,,,,,,,,,46.0162459,11.2920666
50,355604325,node,Maciaconi,,,,,,,,,,,46.5587464,11.728759
51,363791505,node,Lorenz,,,,,,https://www.hotellorenz.com/,,,,,46.9356365,11.4462649
52,364822145,node,Hotel America,3,,,+39 0461 983010,info@hotelamerica.it,http://www.hotelamerica.it/,Trento,Via Torre Verde,52,31822,46.0711429,11.1241736
53,366201674,node,Berghotel Zirm,4,,,+39 0474 592054,info@berghotel-zirm.com,https://www.berghotel-zirm.com/,Olang - Valdaora,Eggerweg - Via Egger,16,39030,46.7463211,12.0011333
54,367891774,node,Albergo al Bosco,,,,,,,,,,,45.9676548,11.2269514
55,385123371,node,Hotel und Restaurant Weiberhimmel,3,,,,,,,,,,46.5460478,10.9407701
56,390497681,node,Heroler Hof,,,,,,,,,,,46.7600878,11.7627688
57,393363161,node,Castel Pietra,,,,,,,,,,,46.1764081,11.8366209
58,393455203,node,Gasthof Salurn,,10,,+39 3391070921,info@gasthofsalurn.it,https://www.gasthofsalurn.it/,Salorno - Salurn,Via Dr. Josef Noldin - Dr.-Josef-Noldin-Straße,2,39040,46.2396178,11.2119306
59,411740268,node,Stroblhof,,,,+390471662250,hotel@stroblhof.it,https://www.stroblhof.it/,Eppan an der Weinstraße - Appiano sulla Strada del Vino,Pigenoer Weg - Via Piganò,25,39057,46.4496192,11.2492856
60,412369294,node,Hotel Rio,3,,,,,,,,,,46.1337358,10.7589376
61,414978800,node,Hotel Chalet Genziana,3,,,+39 0463 746050,info@chaletgenziana.it,https://chaletgenziana.it/,Celledizzo,Via al Sant,2,38024,46.3432414,10.7019644
62,414988153,node,Hotel Cevedale,3S,,,+39 0463 754067,info@hotelcevedale.it,https://www.hotelcevedale.it,Cogolo,Via Roma,33,38024,46.3513728,10.6942137
63,414997614,node,Hotel Ortles,3S,,,+39 0463 754073,info@hotelortles.it,https://www.hotelortles.it/,Cogolo,Via Giovanni Casarotti,66,38024,46.3545353,10.6899611
64,414997615,node,Hotel Gran Zebrù,,,,+39 0463 754433,INFO@HOTELGRANZEBRU.COM,https://www.hotelgranzebru.com/it,Cogolo,Via Giovanni Casarotti,92,38024,46.355823,10.6898114
65,414997616,node,Kristiania Leading Nature & Wellness Resort,4,,,+39 0463 754157,info@hotelkristiania.it,https://www.hotelkristiania.it/,Cogolo,Via di Sant'Antonio,18,38024,46.3557804,10.6908833
66,415504648,node,Albergo Serena,3,,,+39 0463 974974,info@serena-hotel.com,https://serena-hotel.com/,Dimaro,Via Gole,90,38025,46.3263804,10.8692858
67,416349202,node,Sporthotel St. Michael,3,,,,,,,,,,46.7084922,10.528862
68,416691922,node,Gasthof zum Löwen,3,,,,,https://www.hotel-loewen.it/zum-loewen-p1.html,,,,,46.776349,11.689844
69,416692042,node,Weisse Lilie - Giglio Bianco,3,,,+39 0472 849740,info@weisselilie.it,https://www.weisselilie.it/,Mühlbach - Rio di Pusteria,Kirchplatz - Piazza Chiesa,2,39037,46.7960607,11.6663595
70,417903388,node,Albergo Lucia,3,,,,,,,,,,46.0124489,11.3000724
71,418013916,node,Hotel Bad Bergfall,3,,,+39 0474 592 084,info@badbergfall.com,https://www.badbergfall.com/,Olang - Valdaora,Via Bagni di Pervalle,5,39030,46.7318253,12.0039912
72,419880308,node,Hotel Oberbrunn,3,,,+39 0472 415125,,http://www.hotel-oberbrunn.it,,,,,46.7534002,11.6790734
73,419898250,node,Geyrerhof,3,,,+39 0471 345370,,https://www.geyrerhof.com/,,,,,46.5345874,11.4091682
74,420398452,node,Waldhotel Tann,,,,+39 0471 356 264,,https://www.tann.it/,Klobenstein - Collalbo,Tannstrasse - Via Tann,22,39054,46.5681651,11.4495573
75,420772564,node,Gasthof Seppi,3,,,+39 0472 849701,info@gasthof-seppi.it,www.gasthof-seppi.it/,Mühlbach - Rio di Pusteria,Richtergasse,1,39037,46.7962263,11.6665785
76,420781370,node,Krone,2,,,+39 0474 411108,hotel.krone@dnet.it,https://hotelkrone-arc.com/,Bruneck - Brunico,Via Ragen di Sopra,8,39031,46.7948987,11.9408573
77,426311727,node,Belvedere,4,,,+39 0461 586933,info@belvedereonline.com,http://www.belvedereonline.com/,Molveno,Via Nazionale,9,38018,46.141932,10.9643749
78,426311728,node,Olympia,3,,,+39 0461 586961,info@olympiamolveno.it,http://www.olympiamolveno.it/,Molveno,Via Dolomiti,1,38018,46.1428396,10.9610717
79,427547574,node,Europa,3,,,+39 0461 586937,hotel@europamolveno.it,http://www.europamolveno.it/,Molveno,Via Nazionale,13,38018,46.1419977,10.9631127
80,427547578,node,Lido,4,,,+39 0461 586932,info@hotel-lido.it,http://www.hotel-lido.it/,Molveno,Via Lungolago,10,38018,46.14127,10.9635213
81,443448102,node,Hotel Botango,4,54,,+39 0473 967128,info@botango.it,https://www.botango.it/,,,,,46.6793539,11.0885022
82,445080717,node,Hotel Jú Furcia,3,,,+39 0474 501805,info@furcia.info,https://www.furcia.info/,Mareo - Marebbe - Enneberg,Strada Furcia,29,39030,46.7231334,11.9647682
83,448098224,node,Hotel Pordoi,,,,,,http://www.hotelpordoi.eu,,Strada del Pordoi,126,38036,46.486347,11.800285
84,449096185,node,Cafe Restaurant Seegarten,,,,,,https://www.seegarten.it/,,,,,46.3839586,11.2585115
85,459656401,node,Florida,3,,,+39 0461 586905,info@hotel-florida.it,http://www.hotel-florida.it,Molveno,Via Belvedere,25,38018,46.1446324,10.9672354
86,459656414,node,Aurora,3,,,+39 0461 586946,aurora.molveno@virgilio.it,http://www.hotelauroramolveno.com/,Molveno,Via Belvedere,8,38018,46.1441867,10.9683936
87,459656417,node,Lory,3,,,+39 0461 586906,info@hotellory.com,http://www.dolomieten-hotel.com/,Molveno,Via Belvedere,15,38018,46.1443515,10.9668565
88,459656422,node,Alle Dolomiti,3,,,+39 0461 586057,info@alledolomiti.com,https://www.alledolomiti.com/,Molveno,Via Lungolago,18,38018,46.1401359,10.9610822
89,459656423,node,Bellariva,,,,+39 0461 586338,info@gardenhotelbellariva.com,http://www.bellariva.com/,Molveno,Via Lungolago,25,38018,46.1390903,10.9601139
90,461967770,node,Ariston,3,,,+39 0463 974967,info@hotelaristonvaldisole.com,https://www.hotelaristonvaldisole.com/,Monclassico,Via di Novalina,106,38020,46.3377661,10.8926709
91,462264536,node,Albergo Slosser,,,,,,,,,,,46.1842756,11.0289181
92,462264537,node,Albergo Aurora,3,,,,,https://www.albergoauroracavedago.com/index.php/it/,Cavedago,Via della viola,6,38010,46.1847406,11.0303158
93,462264539,node,Hotel Olisamir,3,,,,,,,,,,46.1855504,11.0331585
94,469134639,node,Briol - Haupthaus,,,,+39 0471 650125,,https://www.briol.it/index.html,,,,,46.6134884,11.5077237
95,470256244,node,Steinegger,,30,,+39 0471 662248,info@steinegger.it,https://www.steinegger.it,Eppan an der Weinstraße - Appiano sulla Strada del Vino,Matschatscher Weg - Strada Masaccio,9,39057,46.4552667,11.2399826
96,471632919,node,Goldener Adler,4,,,,,http://www.goldener-adler.com,Brixen - Bressanone,Adlerbrückengasse - Via Ponte Aquila,9,39042,46.716864,11.6586553
97,472958621,node,Hotel Rinsbacher Hof,,,,,,,Mühlwald - Selva dei Molini,Lappago di Sopra,,39030,46.9212495,11.8026178
98,474425710,node,Panorama,,,,,,,,,,,46.9661076,11.3470012
99,474731464,node,Gasthof Albergo Post,,,,,,https://www.gasthofzurpost.it/,,,,,46.3130013,11.2729433
100,475699179,node,Paradies,3,,,+39 0471 642136,,,Tiers,St.-Georg-Straße - Via San Giorgio,30,39050,46.4683807,11.5260287
101,475699181,node,Vajolet,3,,,+390471095348,info@hotel-vajolet.it,https://www.hotel-vajolet.it,Tiers,St.-Georg-Straße - Via San Giorgio,42,39050,46.4669633,11.5280567
102,476269639,node,Das Mühlwald - Quality Time Family Resort,4,,,+39 0472415204,info@dasmuehlwald.com,https://www.dasmuehlwald.com/,Natz-Schabs - Naz-Sciaves,Schlossergasse,40,39040,46.7540938,11.6846017
103,482014014,node,Scoiattolo,,,,,,,,,,,46.1123842,11.2342721
104,489787150,node,Hotel Obereggen,,,,,,,,,,,46.3848021,11.5252406
105,489822214,node,Obereggen Ortnerhof,,,,,,,,,,,46.3859329,11.5235154
106,489824889,node,Hotel Cristal,,,,,,,,,,,46.385248,11.5296596
107,491482230,node,Bad Ratzes,4,,,,,https://www.badratzes.it/,,Ratzesweg - Via Ratzes,29,39040,46.5331359,11.5840067
108,492588317,node,Hotel Rungghof,3,,,,,,,,,,46.5487212,11.5485111
109,494551325,node,Rosenbaum,,,,,,,,,,,46.5430149,11.2020524
110,497093888,node,Hotel Bar Rubino,,,,,,,,,,,46.0395932,11.2347482
111,497093922,node,Albergo San Cristoforo,,,,,,,,,,,46.0394621,11.2350158
112,497239623,node,Micamada,,,,,,https://hotelmicamada.it/,,,,,46.0048963,11.2465845
113,497342217,node,Gasthof Pichlerhof,,,,,,,Sand in Taufers - Campo Tures,Reintalstraße - Via Riva di Tures,,39032,46.9517421,12.0652313
114,497346088,node,Hotel Florian,,,,,,,,,,,46.9480395,12.0598249
115,500004628,node,Greif,,,,+39 0471 318000,info@greif.it,https://www.greif.it/,,,,,46.4981579,11.3555289
116,500522638,node,Auener Hof,,,,,,,,,,,46.6517894,11.3225031
117,500522662,node,Haflingerhof Tschatter & Kohl,,,,,,,,,,,46.6557389,11.3162859
118,506326837,node,Arslada,,,,,,,,,,,46.5977032,11.9181254
119,511138884,node,Hotel Europa,,,,,,,,,,,45.8845039,10.8386117
120,511138885,node,Hotel Portici,,,,,,,,,,,45.8847606,10.8387888
121,511198005,node,Hotel ristorante Antica Croce,,,,+39 0464 500620,info@gardaslowemotion.it,https://gardaslowemotion.it/it/,Tenno,Via dei Laghi,1,38060,45.9174613,10.8328756
122,520622911,node,Europa,,,,,,,,,,,46.1716738,11.2200111
123,528021547,node,La Muda,,,,,,https://www.lamuda.it,,,,,46.6078545,11.8967234
124,528256589,node,Hotel Tirolensis,,,,,,https://www.tirolensis.com/,Tisens - Tesimo,Prissian,75a,39010,46.5559133,11.1785078
125,534253625,node,B&B Boutique Apartment Oberwiesen,,,,,,https://www.oberwiesen.it/,Bruneck - Brunico,Reinthalstraße - Via Reinthal,6,39031,46.7736883,11.9502796
126,540994930,node,Ressmair,,,,+39 0473 236400,,,Meran - Merano,Romstraße - Via Roma,166,39012,46.6620319,11.1639099
127,556367054,node,Stadt - Città,,,,,,https://www.hotelcitta.info/,,,,,46.4988655,11.3544397
128,556402482,node,Four Points Sheraton,,,,+39 0471 1950000,,https://www.marriott.com/hotels/travel/bzofp-four-points-bolzano/,,,,,46.4718413,11.3250162
129,556402500,node,Gardenhotel Premstaller,,,,,,,,,,,46.48566,11.3009236
130,556628099,node,Hotel Post Gries,3,,,+39 0471 279000,info@hotel-post-gries.com,https://www.hotel-post-gries.com/,,,,,46.5020798,11.3346727
131,556629278,node,Feichter,2,,,+39 0471 978768,info@hotelfeichter.it,https://www.hotelfeichter.it/,,,,,46.4989757,11.3570282
132,557169206,node,Accademia,4,,,,,,Trento,Vicolo Colico,4,31822,46.0686822,11.1202489
133,557806687,node,Schwarze Katz,,,,+39 0471 975417,,https://www.schwarzekatz.it/,Bolzano - Bozen,Santa Maddalena di Sotto - Untermagdalena,2a,39100,46.5012077,11.365532
134,561080247,node,Gasthof Goldener Adler,,,,,,,,,,,46.3225829,11.2159107
135,562715340,node,Pizzeria Corona,,,,,,,Lavis,Piazza Manci,2,38015,46.1385343,11.1139574
136,563398204,node,Albergo Venezia,4,,,,,,,,,,46.0677859,11.1212687
137,563398648,node,Hotel Garni Venezia,2,,,+39 0461 234114,prenotazioni@hotelveneziatrento.it,https://www.hotelveneziatrento.it/,Trento,,70,31822,46.067946,11.1212548
138,568433876,node,Hotel Bellaria,,,,,,,,,,,46.0115946,11.3146289
139,570685008,node,Turismo,,,,,,,,,,,46.0600275,11.2370154
140,570699486,node,Meridiana,,,,,,,,,,,46.0396592,11.2422786
141,587759192,node,Albergo Centrale,,,,,,,,,,,46.1084141,11.302608
142,595710606,node,Hotel Stampfer,,,,,,,,,,,46.404897,11.3179184
143,597731160,node,Hotel Garni Dolomieu,3,,,+39 0471 795440,info@dolomieu.eu,https://www.valgardena.it/en/accommodation/base/hotel/selva-val-gardena/garni-hotel-dolomieu-nevada-wellness-spa/C0DF981376D911D18F2900A02427D15E/,Sëlva - Wolkenstein in Gröden - Selva di Val Gardena,Streda Frëina,7,39048,46.5513458,11.7623497
144,597731161,node,Residence Nevada,,,,,,,,,,,46.5508717,11.7622265
145,598455014,node,Hotel Ansitz Plantiz,,,,,,,,,,,46.6649464,11.1765072
146,605016526,node,Hotel Tirolerhof,3S,29,,+39 0473 449888,info@tirolerhof-hotel.it,https://www.tirolerhof-hotel.it/,,,,,46.680335,11.1302419
147,610205153,node,Alpenroyal Grand Hotel Gourmet & SPA,5,,,,info@alpenroyal.com,https://www.alpenroyal.com/,,,,,46.5590346,11.7468175
148,610217867,node,Chalet S Dolomites,4,,,+39 0471 795445,info@chalet-s.eu,https://www.chalet-s.eu/,,Streda Rainel,65,39048,46.5569891,11.752959
149,610221224,node,Hotel Nives,,,,+39 0471 773329,info@hotel-nives.com,https://www.hotel-nives.com/,Sëlva - Wolkenstein in Gröden - Selva di Val Gardena,Streda Nives,4,39048,46.5559056,11.7569115
150,610557068,node,Chalet Portillo,4,,,+39 0471 795205,,https://www.portillo-dolomites.it/,Sëlva - Wolkenstein in Gröden - Selva di Val Gardena,Streda Mëisules,65,39048,46.5574147,11.7498917
151,614841348,node,Henriette,3,,,+39 0463 902110,info@hotelhenriette.it,https://www.hotelhenriette.it/,Malé,Via Trento,36,38027,46.3539348,10.9140737
152,616524564,node,Hotel Miramonti,,,,,,,,,,,46.3994983,10.8482671
153,616524645,node,Pippo Hotel,3S,,,+39 0463 901207,,https://www.pippohotel.it/,Terzolas,Via Don Pietro Silvestri,32,38027,46.3610255,10.9285375
154,616524688,node,Al Molin,,,,,,https://www.almolin.it/,,,,,46.4084443,10.797753
155,616524760,node,Albergo Posta,,,,,,,,,,,46.4078861,10.8109015
156,617114037,node,Hotel Bologna,3,,,+39 0474 555917,info@hotel-bologna.it,https://www.hotel-bologna.it/,Bruneck - Brunico,Leonardo da Vinci Straße - Via Leonardo da Vinci,1,39031,46.794689,11.9353188
157,617763265,node,Rossalm,,,,,,,,,,,46.6852067,11.738933
158,619305256,node,Andreas Hofer,,,,,,,,,,,46.3127406,11.2698464
159,627936486,node,Hotel Jarolim,3,,,+39 0472 836230,hotel@hotel-jarolim.it,https://www.hotel-jarolim.it/,Brixen - Bressanone,Bahnhofplatz -Piazzale della Stazione,1,39042,46.7105358,11.6504942
160,631685642,node,Drago,,,,,,,,,,,46.4030767,11.3211912
161,633206898,node,Hotel Falzeben,,,,+39 0473 279 423,info@falzeben.com,https://www.falzeben.com/,Hafling - Avelengo,Falzebenerstraße - Via Falzeben,214,39010,46.6660061,11.2408748
162,633207482,node,Josef Mountain Resort,,,,+39 0473 279 590,info@josef.bz,http://www.josef.bz,Hafling - Avelengo,Falzebenerstraße - Via Falzeben,225,39010,46.6658221,11.2424353
163,635125634,node,Hotel Freina,3S,,,+39 0471 795110,info@hotelfreina.com,https://www.hotelfreina.com/,Selva Gardena - Wolkenstein,Streda Frëina,23,39048,46.5519991,11.7619913
164,641810261,node,Hotel Appartements Matscher,4,,,,,,,,,,46.4560309,11.2419743
165,648461730,node,Hotel Fantelli,,,,,,,,,,,46.3000336,10.8643738
166,648490538,node,Hotel Alaska,,,,,,,,,,,46.3003628,10.8638219
167,653366711,node,Hotel Fior di Bosco,,,,+39 0461 695008,,http://www.hotelfiordibosco.it,,Masen,,38030,46.177539,11.1673988
168,663778332,node,Hotel Corso,4,,,+39 0474 554 434,info@hotelcorso.com,https://www.hotelcorso.com,Bruneck - Brunico,Via Bastioni,16,39031,46.7960486,11.9375263
169,670866392,node,Römerrast,,,,,,,,,,,46.4382762,11.2483396
170,671376211,node,Hotel Niedermair - Zimmer + FeWo,4,28,,+39 0473 967171,info@hotel-niedermair.com,https://www.hotel-niedermair.com/,,,,,46.6899663,11.0832122
171,671402796,node,Hotel Masatsch,3,0,,+39 0471 669522,info@masatsch.it,https://www.masatsch.it/,Kaltern an der Weinstraße - Caldaro sulla Strada del Vino,,30,39052,46.4370592,11.2487981
172,672530068,node,Hotel Uridl,,,,,,,,,,,46.5594555,11.7160318
173,673194565,node,Agriturismo Montibeller,,,,,,http://www.agriturmontibeller.it/,,,,,46.0469105,11.4115734
174,684255988,node,Panorama,,,,,,,,,,,46.6997893,12.3658563
