id,osmId,osm_type,name,cuisine,phone,website,addr_city,addr_street,addr_housenumber,addr_postcode,latitude,longitude
1,61100894,node,Gasthof Laurin,,,https://gasthof-laurin.com/,,,,,46.466007,11.5305153
2,123517898,node,Frickhof,,+39 0473 656 119,https://www.frickhof.com,,Passeirer Straße - Via Passiria,31,39015,46.8115272,11.2468581
3,247887464,node,Dal Boccia,pasta;pizza;regional;seafood,+39 0461 437903,,,Via degli Alberti Poja,13,31822,46.0718261,11.1404686
4,258441546,node,"Pizzeria ""Le palme""",pizza,+39 0464 411201,,,Via Panizza,56,,45.9171651,11.0531014
5,259973562,node,Il bosco incantato,,+39 0461 960826,,Trento,Via del Lavaron,2,31821,46.1096102,11.1402622
6,261081683,node,Agritur,,,,,,,,46.2789911,11.4354671
7,261086637,node,Pizzeria La Ruota,,,,,,,,46.2712502,11.417343
8,267649391,node,Crown,pizza,,,Mezzocorona,Via Fratelli Grandi,,38016,46.2148653,11.1168418
9,268421250,node,Ristorante Argentino ¨Sapori di Patagonia¨,,,,,,,,46.0856765,11.2153436
10,268430904,node,Dalla Sora Giovanna,,+39 0461 095967,https://dallasoragiovanna.it/,Trento,Via Roggia Grande,8,31822,46.0674055,11.1243864
11,268432521,node,Trattoria Al Tino,,,,Trento,Via Santissima Trinitá,10,31822,46.066267,11.1229923
12,268435080,node,Trattoria Al Mercato,,,,Trento,Piazza Giovanni Battista Garzetti,15,31822,46.0659754,11.1238802
13,268435081,node,Borgo Nuovo Trento,fish;pizza,+39 0461 261375,http://3portoni.it/,Trento,Prima Androna di Borgo Nuovo,20,31822,46.0658302,11.1236344
14,268803099,node,Agritur Maso Sorte,regional,,,,,,,46.2779665,11.4452067
15,269145543,node,Alla Grotta,swiss,+39 0464 553244,http://allagrotta.com,Arco,Via Monte Brione,5,38062,45.8949163,10.8702292
16,269193687,node,Al Vesuvio,italian,+39 0461 987303,https://ristorantepizzeria-alvesuvio.eatbu.com/?lang=en,Trento,Via della Malvasia,103,31822,46.0752383,11.1251318
17,269193730,node,Birreria Pizzeria Pedavena,,+39 0461 986255,http://www.birreriapedavena.com,Trento,Piazza di Fiera,13,31822,46.0647702,11.123413
18,269193732,node,Trattoria al Volt,italian;regional,+39 0461 983776,http://tienne.it/alvolt/,Trento,Via Santa Croce,16,31822,46.0644782,11.1232307
19,269348445,node,Albergo Dolomiti,,,,,,,,46.1601698,11.2345535
20,269356399,node,Pizzeria Anna,,,,,,,,46.0683757,11.2539178
21,269358770,node,Pizzeria 4 Venti,,,,,,,,46.2620421,11.3546478
22,269512908,node,Pizzeria Primavera,pizza,+39 0461 239840,,Trento,Via del Suffragio,92,31822,46.0707264,11.1246538
23,271009437,node,Ristorante alle Foci da Rita,regional,,,,,,,45.9120449,10.8365826
24,276665082,node,Piffinger Köpfl,,+39 0473 279 610,https://www.piffinger-koepfl.com/,Hafling - Avelengo,Piffingerweg - Via Piffing,16,39010,46.6769406,11.2554098
25,276923561,node,New Lido - Ristorante Pinseria,,,,,,,,46.1339585,11.2571178
26,277697218,node,Dia Luna cafè pizzeria,pizza,+39 3517521236,,Pergine Valsugana,Via di Castel Rocca,,38057,46.0848853,11.2100564
27,278461430,node,Nagler,,,,,,,,46.6102115,11.8940268
28,278462651,node,San Linêrt,italian_pizza;local,,,,,,,46.6112509,11.9000638
29,281692703,node,Malga Salanzada,regional,,,,,,,46.272539,11.4638938
30,282865095,node,Lorenzi Hütte,,+39 0474 592100,,,,,,46.744806,11.9909326
31,285976123,node,Malga Cambroncoi,regional,,,,,,,46.1360828,11.3065372
32,286507919,node,Auerleger Alm - Malga Ora,,,,,,,,46.3537799,11.4654487
33,286834621,node,Schliniger Alm - Malga Slingia,regional,,,,,,,46.7201809,10.4533457
34,287355831,node,Sandheim,italian,+39 0473 616166,https://www.sandheim.it/,,,,,46.6241323,10.5959019
35,288938675,node,Pizzeria OroStube,pizza,+39 0461 816073,https://orostube.it/,Trento,Via Sommarive,10,38123,46.0647594,11.1504525
36,289225782,node,La Botte,,,,Povo,Piazza Giannatonio Manci,14,38123,46.0661234,11.1548195
37,289741261,node,Gasthof Wieser,italian;pizza,+39 0471 615152,,,,,,46.3952497,11.3857603
38,289741267,node,Gasthof Weber,,,,,,,,46.3966755,11.3944388
39,289878227,node,Krone,,,https://www.gasthof-krone.it,,,,,46.3681076,11.3544362
40,290831118,node,Pirchhof,,+39 0473 667812,http://www.pirchhof.com/,Naturns - Naturno,Sonnenberg-Monte Sole,77a,39025,46.6706,11.0066482
41,290958323,node,Wiedenplatz,,,,,,,,46.6568512,11.0130051
42,290995383,node,Röt Alm,,,,,,,,47.0400333,12.1455906
43,290998952,node,Agriturismo Ai molini,regional,+39 0461 651088,http://www.agrituraimolini.it/,,,,,46.1929312,11.1566275
44,291290003,node,Unterobereben,regional,,,,,,,46.6587091,11.0736106
45,292021580,node,Pizzeria Quattro Stagioni,pizza,+39 0461 987031,,Trento,Via San Vito,36,31821,46.0753126,11.1378543
46,292258759,node,Victor,pizza;regional;italian,,,,,,,46.3381184,11.0633214
47,292397135,node,Höchsterhütte am Grünsee - Rifugio Canziani al Lago Verde,,,,,,,,46.4825119,10.7990364
48,292811263,node,Moar,,,,,,,,46.5633788,11.3566442
