id,osmId,osm_type,name,type,capacity,occupancy,duration,resort,latitude,longitude
1,223606714,node,,pylon,,,,,46.5426567,11.8950261
2,244894317,node,,pylon,,,,,46.8597186,11.3079162
3,244894318,node,,pylon,,,,,46.8582824,11.3075638
4,244894319,node,,pylon,,,,,46.850361,11.3056204
5,244894330,node,,pylon,,,,,46.8561643,11.2998464
6,244894331,node,,pylon,,,,,46.8510458,11.2977016
7,244894381,node,Kalcher Alm - Malga Calice,yes,,,,,46.8425435,11.3219241
8,244894385,node,Rinneralm - Malga Rinner,yes,,,,,46.8403714,11.3143833
9,249630007,node,,pylon,,,,,46.2276679,10.8320254
10,249630008,node,,pylon,,,,,46.2271732,10.8337844
11,249630009,node,,pylon,,,,,46.2269385,10.834619
12,249630011,node,,pylon,,,,,46.2255506,10.8395547
13,249630012,node,,pylon,,,,,46.2247918,10.8422528
14,249630014,node,,pylon,,,,,46.2235093,10.846813
15,292911527,node,,yes,,,,,46.5143002,11.3525062
16,330270424,node,,pylon,,,,,46.7312733,11.2129514
17,365180206,node,,pylon,,,,,46.8304303,10.6519229
18,365180207,node,,pylon,,,,,46.8224185,10.6489477
19,390978040,node,,pylon,,,,,46.5525524,10.9036811
20,390978041,node,,pylon,,,,,46.5534168,10.9183857
21,391926964,node,,pylon,,,,,46.4003927,11.2072552
22,391926965,node,,pylon,,,,,46.3970314,11.2077881
23,391926966,node,,pylon,,,,,46.3965463,11.2078817
24,391926967,node,,pylon,,,,,46.3946379,11.2082092
25,391926968,node,,pylon,,,,,46.3930403,11.208474
26,391926969,node,,pylon,,,,,46.3921527,11.2086368
27,418145896,node,,pylon,,,,,46.526805,11.4035755
28,418145897,node,,pylon,,,,,46.5215858,11.3959246
29,418145898,node,,pylon,,,,,46.5155321,11.3870515
30,418145899,node,,pylon,,,,,46.5104736,11.3796377
31,418145900,node,,pylon,,,,,46.5085271,11.3767852
32,418145901,node,,pylon,,,,,46.5046038,11.3710359
33,419845667,node,,pylon,,,,,46.6210918,10.8663314
34,426311681,node,,pylon,,,,,46.1555768,10.9563711
35,426311683,node,,pylon,,,,,46.1561052,10.9554768
36,426311685,node,,pylon,,,,,46.1550059,10.957283
37,426311687,node,,pylon,,,,,46.1543279,10.958433
38,426311690,node,,pylon,,,,,46.1538667,10.9592153
39,426311692,node,,pylon,,,,,46.1536318,10.9596137
40,426311694,node,,pylon,,,,,46.1533569,10.96008
41,426311697,node,,pylon,,,,,46.1529183,10.9608242
42,426311699,node,,pylon,,,,,46.1527282,10.9611466
43,426311703,node,,pylon,,,,,46.1524607,10.9616003
44,427547663,node,,pylon,,,,,46.148006,10.9628806
45,427547664,node,,pylon,,,,,46.1489637,10.9622893
46,427547667,node,,pylon,,,,,46.1503704,10.96146
47,427547669,node,,pylon,,,,,46.1506227,10.961293
48,427547670,node,,pylon,,,,,46.1513722,10.9608627
49,427547672,node,,pylon,,,,,46.1468976,10.963535
50,427547674,node,,pylon,,,,,46.1455548,10.9643472
51,427547675,node,,pylon,,,,,46.1448125,10.9647932
52,758777519,node,,pylon,,,,,46.2649272,11.7984533
53,758777931,node,,pylon,,,,,46.264347,11.7978478
54,758778196,node,,pylon,,,,,46.2638137,11.7972913
55,802196449,node,,pylon,,,,,46.0330581,11.058465
56,802196519,node,,pylon,,,,,46.0372284,11.0582924
57,802196750,node,,pylon,,,,,46.0358365,11.05835
58,802196940,node,,pylon,,,,,46.0367306,11.058313
59,813513602,node,,pylon,,,,,45.7780975,10.9432295
60,813513615,node,,pylon,,,,,45.7755793,10.9460552
61,813513633,node,,pylon,,,,,45.7792289,10.9419598
62,813513713,node,,pylon,,,,,45.7801216,10.940958
63,813513744,node,,pylon,,,,,45.7761363,10.9454302
64,813513795,node,,pylon,,,,,45.7737365,10.9481231
65,813513813,node,,pylon,,,,,45.7776151,10.9437708
66,813513837,node,,pylon,,,,,45.776789,10.9446978
67,813513842,node,,pylon,,,,,45.7809618,10.9400151
68,813513864,node,,pylon,,,,,45.7785864,10.9426808
69,813513880,node,,pylon,,,,,45.7745957,10.947159
70,813513886,node,,pylon,,,,,45.7815705,10.939332
71,851121894,node,Bergstation,pylon,,,,,46.733899,11.2406861
72,910842190,node,,pylon,,,,,46.5076324,10.5968561
73,910848951,node,,pylon,,,,,46.4935684,10.5983947
74,983375100,node,,pylon,,,,,46.4435366,11.7697959
75,983375120,node,,pylon,,,,,46.4387797,11.7657378
76,983375138,node,,pylon,,,,,46.4396251,11.7678859
77,983375141,node,,pylon,,,,,46.4448297,11.7716314
78,983375165,node,,pylon,,,,,46.4425945,11.7684588
79,983375193,node,,pylon,,,,,46.4399656,11.7687167
80,983375197,node,,pylon,,,,,46.4397177,11.7643757
81,983375207,node,,pylon,,,,,46.4442461,11.770803
82,983375246,node,,pylon,,,,,46.4393449,11.7638467
83,983375266,node,,pylon,,,,,46.440504,11.7654918
84,983375280,node,,pylon,,,,,46.4416256,11.7670837
85,983375317,node,,pylon,,,,,46.4393387,11.7671221
86,983375323,node,,pylon,,,,,46.4384051,11.7647647
87,983375392,node,,pylon,,,,,46.4391222,11.7665775
88,983375399,node,,pylon,,,,,46.4408728,11.7660151
89,1087045980,node,,pylon,,,,,46.0415747,11.0697409
90,1087046097,node,,pylon,,,,,46.0319061,11.0492013
91,1087046433,node,,pylon,,,,,46.035459,11.044384
92,1087046612,node,,pylon,,,,,46.0445021,11.0706572
93,1087046681,node,,pylon,,,,,46.0326684,11.0481678
94,1087047037,node,,pylon,,,,,46.0290329,11.0530967
95,1087047140,node,,pylon,,,,,46.0349424,11.0450844
96,1087047442,node,,pylon,,,,,46.0343217,11.045926
97,1087047530,node,,pylon,,,,,46.0371905,11.0420362
98,1087047831,node,,pylon,,,,,46.0362398,11.0433252
99,1087047886,node,,pylon,,,,,46.043277,11.0702738
100,1087048158,node,,pylon,,,,,46.0334588,11.0470961
101,1087048220,node,,pylon,,,,,46.0373705,11.0417921
102,1087048302,node,,pylon,,,,,46.0453047,11.0709085
103,1087048403,node,,pylon,,,,,46.0428407,11.0701372
104,1087048656,node,,pylon,,,,,46.0456757,11.0710246
105,1087048849,node,,pylon,,,,,46.0475523,11.071612
106,1087048904,node,,pylon,,,,,46.040184,11.037977
107,1087049103,node,,pylon,,,,,46.0426573,11.0700798
108,1087049217,node,,pylon,,,,,46.0279269,11.0545963
109,1087049426,node,,pylon,,,,,46.0297316,11.0521494
110,1087049452,node,,pylon,,,,,46.0271103,11.0557033
111,1087049474,node,,pylon,,,,,46.0407835,11.037164
112,1087049523,node,,pylon,,,,,46.0288651,11.0586386
113,1087049603,node,,pylon,,,,,46.0416974,11.0697793
114,1087049721,node,,pylon,,,,,46.0283616,11.0540069
115,1087049892,node,,pylon,,,,,46.0307475,11.0585607
116,1087049912,node,,pylon,,,,,46.0459622,11.0711143
117,1087050024,node,,pylon,,,,,46.041425,11.0696941
118,1087050128,node,,pylon,,,,,46.0311941,11.0501667
119,1087050249,node,,pylon,,,,,46.0335169,11.0470173
120,1088100249,node,,pylon,,,,,46.0275369,11.0586936
121,1088100288,node,,pylon,,,,,46.0317348,11.0585198
122,1088100293,node,,pylon,,,,,46.027215,11.058707
123,1088100322,node,,pylon,,,,,46.0339343,11.0584288
124,1088100327,node,,pylon,,,,,46.032964,11.0584689
125,1088100361,node,,pylon,,,,,46.0279104,11.0586782
126,1088100441,node,,pylon,,,,,46.0321983,11.0585006
127,1088100497,node,,pylon,,,,,46.0298136,11.0585994
128,1088100561,node,,pylon,,,,,46.046563,11.0713024
129,1113204298,node,,pylon,,,,,46.2289915,10.7980073
130,1113204520,node,,pylon,,,,,46.2297184,10.8178005
131,1113204778,node,,pylon,,,,,46.2291473,10.8022663
132,1113205001,node,,pylon,,,,,46.2290426,10.7993975
133,1113205035,node,,pylon,,,,,46.2295442,10.813055
134,1113205222,node,,pylon,,,,,46.2294155,10.8095526
135,1113205523,node,,pylon,,,,,46.2292342,10.8046152
136,1113205823,node,,pylon,,,,,46.22967,10.8164817
137,1113205914,node,,pylon,,,,,46.2289433,10.7966936
138,1113206049,node,,pylon,,,,,46.2295038,10.8119565
139,1113206091,node,,pylon,,,,,46.2290902,10.8006143
140,1113206326,node,,pylon,,,,,46.2290017,10.7982839
141,1113206535,node,,pylon,,,,,46.2293346,10.8073493
142,1113206802,node,,pylon,,,,,46.2291902,10.8034174
143,1113207111,node,,pylon,,,,,46.2290461,10.7994939
144,1113207151,node,,pylon,,,,,46.2296118,10.8148954
145,1113207459,node,,pylon,,,,,46.2294304,10.8099576
146,1114928763,node,,pylon,,,,,46.3039136,10.8117808
147,1114929376,node,,pylon,,,,,46.3023944,10.8119564
148,1114929770,node,,pylon,,,,,46.3043832,10.811708
149,1114929845,node,,pylon,,,,,46.3030098,10.8119064
150,1114930290,node,,pylon,,,,,46.3042884,10.8117227
151,1115755434,node,,pylon,,,,,46.482761,10.8032429
152,1115755439,node,,pylon,,,,,46.4831319,10.8146871
153,1115755655,node,,pylon,,,,,46.4831708,10.8158888
154,1115756032,node,,pylon,,,,,46.4829623,10.8094541
155,1115756148,node,,pylon,,,,,46.4834676,10.8257718
156,1115756293,node,,pylon,,,,,46.4827838,10.8039458
157,1115756337,node,,pylon,,,,,46.4830789,10.8130526
158,1115756520,node,,pylon,,,,,46.4828113,10.8047953
159,1115756732,node,,pylon,,,,,46.482915,10.8079931
160,1223546132,node,,pylon,,,,,46.3796294,11.7948291
161,1315740616,node,,pylon,,,,,46.5234601,11.3439367
162,1315740622,node,,pylon,,,,,46.5272878,11.3403246
163,1368188057,node,,pylon,,,,,46.6998391,11.2060155
164,1421297704,node,,pylon,,,,,45.8883931,11.174448
165,1421297706,node,,pylon,,,,,45.8886482,11.17275
166,1421297708,node,,pylon,,,,,45.8888687,11.1712984
167,1421297709,node,,pylon,,,,,45.8893386,11.1682186
168,1421297711,node,,pylon,,,,,45.8895278,11.1669579
169,1421297713,node,,pylon,,,,,45.8899899,11.1639006
170,1421297715,node,,pylon,,,,,45.8905833,11.1599788
171,1421297716,node,,pylon,,,,,45.8907179,11.1590813
172,1663301248,node,,pylon,,,,,46.7527762,10.766486
173,1663301252,node,,pylon,,,,,46.7531625,10.7685462
174,1663308120,node,,pylon,,,,,46.7535268,10.7704889
175,1797510998,node,,pylon,,,,,46.361467,10.6615724
176,1797511226,node,,pylon,,,,,46.3626104,10.661403
177,1797511426,node,,pylon,,,,,46.3636946,10.6612201
178,1797511713,node,,pylon,,,,,46.3647587,10.6610359
179,1797511837,node,,pylon,,,,,46.365757,10.6608695
180,1797511945,node,,pylon,,,,,46.3665088,10.6607431
181,1797512048,node,,pylon,,,,,46.3677673,10.6605389
182,1797512139,node,,pylon,,,,,46.3696606,10.6602435
183,1995098638,node,,pylon,,,,,46.3713817,10.6636353
184,1995098664,node,,pylon,,,,,46.3709322,10.6638435
185,1995098667,node,,pylon,,,,,46.3732262,10.6627486
186,1996819866,node,,yes,,,,,46.7585409,10.7817912
187,1996819892,node,,pylon,,,,,46.7755267,10.7887624
188,2092891863,node,,platter,,,,,46.3929589,11.7822282
189,2204345686,node,,pylon,,,,,46.7039089,10.5083992
190,2204345708,node,,pylon,,,,,46.7040308,10.5079047
191,2204345741,node,,pylon,,,,,46.7043262,10.5067065
192,2204345758,node,,pylon,,,,,46.704471,10.5061189
193,2204345775,node,,pylon,,,,,46.7046374,10.5054441
194,2204345782,node,,pylon,,,,,46.7047696,10.5049079
195,2204345817,node,,pylon,,,,,46.7052627,10.5029074
196,2204345820,node,,pylon,,,,,46.7055762,10.5016358
197,2204345822,node,,pylon,,,,,46.7058995,10.5003245
198,2204345825,node,,pylon,,,,,46.7059355,10.5001783
199,2204345828,node,,pylon,,,,,46.7062286,10.4989894
200,2204345830,node,,pylon,,,,,46.7064994,10.4978909
201,2204345833,node,,pylon,,,,,46.7069153,10.496204
202,2204345835,node,,pylon,,,,,46.7071516,10.4952454
203,2204345838,node,,pylon,,,,,46.7072533,10.4948329
204,2204345854,node,,pylon,,,,,46.7075086,10.4937971
205,2204345858,node,,pylon,,,,,46.7076149,10.4933661
206,2269445791,node,,pylon,,,,,46.6744744,11.2517455
207,2269445794,node,,pylon,,,,,46.6726849,11.2495701
208,2269445804,node,,pylon,,,,,46.6697059,11.2459158
209,2269445819,node,,pylon,,,,,46.6687083,11.2446886
210,2269445822,node,,pylon,,,,,46.670161,11.2464702
211,2269445823,node,,pylon,,,,,46.6766318,11.2543663
212,2269445827,node,,pylon,,,,,46.6720856,11.2488348
213,2269445830,node,,pylon,,,,,46.6761753,11.2538211
214,2269445831,node,,pylon,,,,,46.6673164,11.2430168
215,2269445832,node,,pylon,,,,,46.6752234,11.2526577
216,2269445845,node,,pylon,,,,,46.6708239,11.247303
217,2269445849,node,,pylon,,,,,46.6738212,11.2509455
218,2269445852,node,,pylon,,,,,46.6665657,11.2421308
219,2279221741,node,,pylon,,,,,46.5117793,11.3815513
220,2325504449,node,,pylon,,,,,46.1986514,10.8198466
221,2325504451,node,,pylon,,,,,46.2002835,10.8200076
222,2325504454,node,,pylon,,,,,46.2020001,10.8201769
223,2325504457,node,,pylon,,,,,46.2032079,10.820296
224,2325504492,node,,pylon,,,,,46.2050249,10.8204752
225,2325504505,node,,pylon,,,,,46.2068697,10.8206572
226,2325504513,node,,pylon,,,,,46.208698,10.8208375
227,2325504516,node,,pylon,,,,,46.2100452,10.8209704
228,2325504518,node,,pylon,,,,,46.2114066,10.8211047
229,2325504521,node,,pylon,,,,,46.2126376,10.8212262
230,2325504523,node,,pylon,,,,,46.2142116,10.8213814
231,2325504526,node,,pylon,,,,,46.2162616,10.8216007
