id,osmId,osm_type,name,website,phone,operator,municipality,latitude,longitude
1,244899868,node,Skigebiet Ratschings Jaufen,,,,,46.8529488,11.3034909
2,320974325,node,Kronplatz - Plan de Corones,,,,,46.7723826,11.9412494
3,325117827,node,Obereggen,,,,,46.3836787,11.5265894
4,333786223,node,,,,,,46.3014682,10.8083033
5,595581141,node,Millegrobbe,,,,,45.935989,11.3201384
6,2755977739,node,Sport Schenk,www.sportschenk.it,+39 0471 795238,Ruth Schenk,Sëlva - Wolkenstein in Gröden - Selva di Val Gardena,46.5536966,11.7618774
7,3090948288,node,Lavazè,,,,,46.3548563,11.4924717
8,5316633023,node,albl,,+39 333 1704059,,,46.5138375,10.9338183
9,8078067992,node,Noleggio Sci Peio dai Maestri,https://www.noleggioscipeio.com/,+39 0463 753040,,Peio Fonti,46.3561707,10.6627901
10,8897189932,node,Centro Sci di Fondo Chinaec,,,,Ledro,45.9287059,10.7369847
11,11528521587,node,Alta Badia Shop & Rental,https://altabadiasport.it,+390471847616,,,46.5837277,11.9034247
12,12592471812,node,Centro Fondo Passo Coe,https://www.supernordicskipass.it/#/snsCenter/265/Centro%20Fondo%20Passo%20Coe,+39 0464 720538,,Passo coe Folgaria,45.8762511,11.2189778
13,12741878683,node,Sport Thöni,https://www.sportthoeni.com,+39 0473 613080,,,46.5199054,10.5962964
14,13045817493,node,Centro Fondo Millegrobbe,https://www.malgamillegrobbe.it/it/attivita-inverno/centro-fondo,,,Luserna,45.9364323,11.3201161
15,13152267587,node,Sci Club Valcampelle ASD,https://www.sciclubvalcampelle.it/,,,Scurelle,46.0639446,11.5068476
16,13152345235,node,Ski Revolution,https://skirevolution.it,+393338068887,,,46.1155948,11.6605405
17,13410766401,node,Centro fondo Val Campelle,,,,Scurelle,46.1473762,11.5173059
18,13542749901,node,Centro di fondo Vallunga,https://www.suedtirol-dolomites.com/en/dolomites/winter/val-gardena/cross-country-skiing/cross-country-centre.html,,,,46.5616942,11.7717249
19,22789203,way,16 Saxner II,,,,,46.8457211,11.2891164
20,22789291,way,Saxner I,,,,,46.8454402,11.2897366
21,22789301,way,Wasserfalleralm - Malga Cascata,,,,,46.8434605,11.2983945
22,22789335,way,,,,,,46.8478792,11.3041747
23,24987937,way,Avez del Prinzep,,,,,45.953232,11.3097602
24,30804946,way,22 Frommer,,,,,46.4415328,11.5976153
25,30804947,way,24 Laurin I,,,,,46.4389803,11.5763565
26,34167339,way,,,,,,46.392399,11.2076764
27,42689120,way,Orso Bruno,,,,,46.2804038,10.823509
28,46773129,way,,,,,,46.9305951,12.037846
29,50844773,way,Busa del Vigo,,,,,46.2768585,10.8318141
30,50845485,way,Malghette,,,,,46.2691002,10.8307154
31,51553591,way,Laner,,,,,46.3697868,11.532236
32,51553597,way,Ochsenweide,,,,,46.3789682,11.5284283
33,51558959,way,Maierl,,,,,46.3650609,11.5393854
34,51646819,way,Absam,,,,,46.3627977,11.5395181
35,52390077,way,Verbindung Wasserfalleralm-Enzian,,,,,46.8461298,11.295605
36,52390078,way,,,,,,46.8604388,11.3021681
37,52624809,way,Saxner I,,,,,46.8449605,11.2902921
38,52624810,way,Saxner II,,,,,46.8447194,11.2869404
39,52624813,way,Waldabfahrt,,,,,46.8553708,11.2985403
40,88601299,way,Muro Bucaneve,,,,,45.785509,10.922316
41,88601300,way,Cronel,,,,,45.7813728,10.9230579
42,88601304,way,Campeggio,,,,,45.7864037,10.9238156
43,88601311,way,Intermedia,,,,,45.7807117,10.9237772
44,88601320,way,Vallette,,,,,45.7803981,10.9244695
45,90938852,way,Cacciatori 2,,,,,46.1479943,11.018174
46,90938854,way,Olimpionica 3,,,,,46.1457633,11.023548
47,90938855,way,Olimpionica 3,,,,,46.144708,11.0301577
48,90938856,way,Rindole,,,,,46.1610017,11.0080731
49,90938858,way,Olimpionica 2 (H),,,,,46.151037,11.0198779
50,90938859,way,Olimpionica 1,,,,,46.1545874,11.010747
51,90938860,way,Cacciatori 1,,,,,46.1569668,11.0100885
52,90938861,way,Rindole,,,,,46.159724,11.0084451
53,90940506,way,Sant'Antonio 1,,,,,46.1402497,11.015689
54,91036485,way,Gaggia,,,,,46.1596379,11.0038162
55,91036487,way,Laghet,,,,,46.1613065,11.003553
56,91036790,way,Gaggia,,,,,46.1520012,10.9988722
57,91095431,way,Dosso Larici,,,,,46.1564185,11.0436162
58,91095433,way,Traliccio,,,,,46.146875,11.0291172
59,91095434,way,Tre-Tre (selletta),,,,,46.149059,11.0307327
60,91095435,way,La Rocca,,,,,46.1693334,11.050902
61,91095437,way,Panoramica,,,,,46.1437995,11.0379272
62,91095442,way,La Rocca,,,,,46.1657541,11.0492799
63,91095443,way,Nuvola Rossa,,,,,46.1575128,11.0478154
64,91097045,way,Salare,,,,,46.1416502,11.0196943
65,91097052,way,Skiweg conca d'argento,,,,,46.1408724,11.0222153
66,96579228,way,Ust,,,,,45.9562755,11.2902495
67,96579231,way,Bertoldi,,,,,45.9509067,11.2725415
68,96579232,way,Le Stock,,,,,45.9511812,11.270516
69,96579233,way,Tablat,,,,,45.9498799,11.2702033
70,96579235,way,Sonneck,,,,,45.9514269,11.2780429
