id,osmId,osm_type,name,difficulty,resort,ref,lit,grooming,latitude,longitude
1,10039585,way,Malghetto,easy,,6,,,46.2880054,10.8436781
2,20925570,way,,easy,,51,,,46.6083717,11.8985936
3,20925989,way,Sponata,intermediate,,24,,,46.598404,11.8995047
4,20925990,way,,intermediate,,,,,46.5989847,11.9004152
5,22789203,way,16 Saxner II,intermediate,,16,,classic,46.8457211,11.2891164
6,22789246,way,Verbindung Ratschungs Jaufen,easy,,5,,,46.8438035,11.3159638
7,22789249,way,Kalcher Alm I,intermediate,,7,,,46.8466286,11.3212941
8,22789257,way,Verbindung Jaufen-Ratschings,easy,,6,,,46.8477507,11.3122602
9,22789260,way,,intermediate,,,,,46.8469599,11.3089788
10,22789264,way,,intermediate,,,,,46.8429865,11.3101886
11,22789291,way,Saxner I,intermediate,,,,classic,46.8454402,11.2897366
12,22789301,way,Wasserfalleralm - Malga Cascata,intermediate,,,,classic,46.8434605,11.2983945
13,22789311,way,Enzian I,intermediate,,11,,,46.8436806,11.3038877
14,22789317,way,Piste 2C,intermediate,,2c,,,46.8411152,11.3044027
15,22789335,way,,intermediate,Blosegg,,,classic,46.8478792,11.3041747
16,24310197,way,Pian Frataces,intermediate,,6,,,46.4822185,11.8040946
17,24310357,way,Campolongo,intermediate,,29,no,classic,46.5162063,11.8679309
18,24310390,way,Boè,intermediate,,1,no,classic,46.5363035,11.8707348
19,24310434,way,Collegamento Sodlisia - Frara,easy,,36A,no,classic,46.5490979,11.8441658
20,24310613,way,Val Setus,intermediate,,,no,classic,46.5521629,11.8059948
21,24310615,way,Frara - Val Setus,intermediate,,,no,classic,46.554261,11.8103453
22,24987937,way,Avez del Prinzep,advanced,,16,no,,45.953232,11.3097602
23,25549528,way,Sponata,intermediate,,27,,,46.5923086,11.8929035
24,25549537,way,Sponata,intermediate,,24,,,46.5972589,11.8976965
25,26465679,way,Larchpichl,easy,,,,,46.6354986,11.0992173
26,26589678,way,,easy,,,,,46.6323481,11.1044259
27,27109443,way,(53) Pradalago diretta,intermediate,,53,no,,46.2462501,10.8245925
28,27175940,way,(76) Nube d'argento,easy,,76,,,46.2380011,10.8455265
29,27242815,way,(70) Spinale Direttissima,advanced,,70,,,46.2256333,10.8390025
30,27242909,way,Rododendro,intermediate,,101,no,classic,46.1665687,10.796873
31,27658699,way,Competition,advanced,,102,,,46.1648881,10.7936726
32,27658700,way,Mandrel,intermediate,,106,,,46.1753702,10.8127744
33,29202171,way,Panorama 2,intermediate,,4,no,classic,46.9812324,11.9792098
34,29202172,way,Panorama 1,advanced,,4c,no,classic,46.9773256,11.9758948
35,29202176,way,Klaussee I (K1),intermediate,,2,no,classic,46.9744613,11.9879752
36,29202177,way,Almboden,easy,,5,no,classic,46.9824439,11.9828479
37,29202302,way,Dureck (K2),intermediate,,8a,no,classic,46.9654948,12.0032838
38,29202663,way,Sonnklar,advanced,,5a,no,classic,46.9188487,11.9007561
39,29202664,way,Tottomandl,easy,,6a,no,classic,46.9225716,11.9033764
40,29202667,way,Seenock sun,advanced,,3b,no,classic,46.924424,11.8990503
41,29202668,way,Seenock,intermediate,Seenock sun,3a,no,classic,46.9247998,11.8967966
42,29202670,way,Seenock,intermediate,,3c,no,classic,46.9237887,11.8983061
43,29204216,way,Brugger,easy,,7,,classic,46.9929003,11.973909
44,29356805,way,(50) Pradalago Facile,easy,,50,,,46.2501448,10.8145774
45,29388231,way,,easy,,,,,46.3929479,11.3874586
46,29388232,way,,,,,,,46.3929665,11.3874159
47,29388233,way,,easy,,,,,46.3931897,11.389012
48,29494716,way,Oberholz,intermediate,,2,,,46.372245,11.5383425
49,29494926,way,Variante Absam,intermediate,,6a,,,46.3623559,11.5457393
50,29495050,way,Collegamento Reiteralpe,easy,,8a,,,46.3581401,11.5372138
51,29495226,way,Pampeago,easy,,10,,,46.3515835,11.5393229
52,29496004,way,Val Todesca,intermediate,,25,,,46.3458633,11.5428962
53,29503599,way,Salvan,easy,,,,,46.4311234,11.7201513
54,29503600,way,Buffaure di Sotto,intermediate,,,,,46.4311441,11.7204742
55,29503601,way,Buffaure Panorama,intermediate,,,,,46.423754,11.717019
56,29550590,way,Belvedere,easy,,,,,46.7366949,11.9729054
57,29552826,way,Ruipa,easy,,,,,46.7446624,11.9783715
58,29552885,way,Pracken,easy,,,no,classic,46.7510932,11.9877688
59,29559236,way,Gassl,intermediate,,,,,46.7450985,11.9811398
60,29559575,way,Alpen,easy,,,,,46.7473664,11.9785988
61,29897969,way,La Longia,intermediate,,,no,classic,46.5912498,11.7170661
62,29919966,way,Fermeda 1,intermediate,,,no,classic,46.5920246,11.7350777
63,29920096,way,Fermeda 1,intermediate,,,no,classic,46.59893,11.7285263
64,29920101,way,Pitla Pela Variante,intermediate,,,no,classic,46.5846499,11.7519026
65,29920155,way,Gran Pela,advanced,,,no,classic,46.5834861,11.7482697
66,29996085,way,,intermediate,Bravo,,,,46.5423629,11.7191503
67,30001889,way,Ciampinoi 3,advanced,,3,no,classic,46.5451087,11.7519777
68,30001890,way,Ciampinoi - Piza Pranseies,intermediate,,,,,46.5385775,11.7525317
69,30001896,way,Ciampinoi 5,intermediate,,5,no,,46.5362215,11.7536407
70,30002144,way,Saslong,advanced,,,no,classic,46.5479676,11.7399654
71,30002173,way,Saslong B,intermediate,,,no,classic,46.5496787,11.7403055
72,30002342,way,Tremor,advanced,,,no,classic,46.5400105,11.7476315
73,30002730,way,Piz Sella 5,intermediate,,,,,46.5343086,11.7523442
74,30002733,way,Piz Sella 5,intermediate,,,no,classic,46.5329111,11.7595804
75,30002736,way,Plan de Gralba,easy,,,no,classic,46.5334313,11.77063
76,30002738,way,Plan de Gralba,easy,,,no,classic,46.5328086,11.7704074
77,30005092,way,Martinelli,intermediate,,,,,46.5055435,11.7449591
78,30005097,way,,intermediate,,,,,46.5049777,11.7454046
79,30005103,way,Sas Betit,easy,,,no,classic,46.5163638,11.7631387
80,30007267,way,Tramans,intermediate,,,no,classic,46.5332095,11.7433958
81,30007395,way,Alpha,advanced,,,no,classic,46.5429122,11.7229978
82,30007449,way,,intermediate,,,no,,46.5396208,11.7249231
83,30007527,way,Bravo,intermediate,,,no,classic,46.5431961,11.721923
84,30074420,way,Vallon,advanced,,1,no,classic,46.5236831,11.8559301
85,30074423,way,Boé,intermediate,,1,,classic,46.5483877,11.8716678
86,30074424,way,Variante,easy,,45A,no,classic,46.5638822,11.8560911
87,30074427,way,Forcelles,intermediate,,50,no,classic,46.5610512,11.8458355
88,30074429,way,Sodlisia,easy,,36,no,classic,46.5501114,11.8492369
89,30074432,way,Stella Alpina,easy,,49,no,classic,46.565328,11.8518586
90,30074434,way,Colfosco 2,easy,,45,no,classic,46.5581064,11.8536754
91,30074436,way,Roby,easy,,19,,,46.5553246,11.9032423
92,30074437,way,La Fraina,intermediate,,23,no,classic,46.558365,11.917913
93,30074438,way,Bamby,easy,,24,,,46.5684545,11.9164169
94,30074439,way,Gran Risa,advanced,,,no,classic,46.5729854,11.9032077
95,30074443,way,Jardinaccia A,intermediate,,26,no,classic,46.5873013,11.8917495
96,30074444,way,Jardinaccia B,easy,,25,no,classic,46.5861041,11.8942691
97,30074445,way,Colfosco 2,easy,,45,no,classic,46.5536969,11.8525501
98,30074446,way,Colfosco 2,easy,,45,no,classic,46.5515283,11.8539066
99,30074449,way,Pralongià variante,easy,,8A,no,classic,46.5371722,11.9025525
100,30074451,way,Pralongià II,easy,,8,no,classic,46.5365584,11.9019873
101,30074452,way,Seggiovia Pralongiá,easy,,21B,no,classic,46.5326606,11.9036324
102,30074453,way,Seggiovia Pralongiá - Pralongiá II,easy,,8B,no,classic,46.5362813,11.9052699
103,30074454,way,,easy,,,,,46.5350697,11.904608
104,30074455,way,Biok - Pralongia II,easy,,7,no,classic,46.5431792,11.9070408
105,30074456,way,Biok,easy,,13,no,classic,46.550967,11.912574
106,30074457,way,,easy,,14,,,46.5535689,11.9118132
107,30074458,way,,easy,,28,,,46.5552139,11.9184198
108,30074459,way,La Brancia,easy,,15A,,,46.5575522,11.9098384
109,30074460,way,,easy,,,,,46.5528931,11.9066346
110,30074461,way,Braia Fraida - Roby,easy,,20,no,classic,46.5539925,11.9033405
111,30074462,way,,easy,,,,,46.5560957,11.8994502
112,30074464,way,Altin,intermediate,,17,no,classic,46.572188,11.9089951
113,30074468,way,Codes,easy,,30,no,classic,46.5585696,11.9232787
114,30074469,way,Col Alt 4,intermediate,,4,no,classic,46.5489033,11.8825094
115,30074474,way,Braia Fraida,easy,,5,no,classic,46.5513857,11.9009645
116,30074476,way,Bamby 2,intermediate,,16B,,,46.5634723,11.9102959
117,30075928,way,Colz,easy,,,no,classic,46.584137,11.9006774
118,30075929,way,,advanced,,,no,classic,46.5872483,11.8881927
119,30075930,way,Colz - Donin,easy,,,no,classic,46.5837062,11.9020365
120,30075933,way,,easy,,,,,46.6086441,11.8967626
121,30075934,way,La Crusc,easy,,52,no,classic,46.6106307,11.9101527
122,30075938,way,La Crusc 2,easy,,53,no,classic,46.6132145,11.9302989
123,30075940,way,Biok - Saraghes,easy,,10,no,classic,46.5484126,11.9207813
124,30120249,way,Pitla Pela,intermediate,,,no,classic,46.5838181,11.7495517
125,30121435,way,Ciampinoi 4,intermediate,,4,no,classic,46.5446922,11.7557659
126,30121441,way,Ciampinoi 6,intermediate,,6,no,classic,46.5353968,11.7589241
127,30122272,way,Collegamento Alpha - Bravo,intermediate,,,no,classic,46.5432244,11.7192035
128,30122436,way,,intermediate,,,no,,46.5394206,11.7255795
129,30136518,way,La Longia - Furnes,intermediate,,,no,classic,46.5832956,11.6892636
130,30213203,way,Colraiser - Fermeda,easy,,,no,classic,46.5851417,11.7468932
131,30421855,way,Dantercepies - Selva,easy,,,no,classic,46.5561134,11.7677692
132,30421857,way,Dantercepies - Selva,easy,,,no,classic,46.5549826,11.764915
133,30763043,way,,,,,,,46.6721162,11.3072189
134,30792445,way,Tomba,advanced,,,,,46.4349986,11.6572866
135,30792447,way,Vajolet 1,easy,,,,,46.4409156,11.6868253
136,30804946,way,22 Frommer,intermediate,,,,classic,46.4415328,11.5976153
137,30804947,way,24 Laurin I,easy,,,no,classic,46.4389803,11.5763565
138,31261330,way,Corno Bianco,intermediate,,89,,classic,46.3503062,11.4505885
139,31261351,way,Collegamento bianconero,easy,,93,,,46.3462127,11.4480975
140,31261385,way,La Rocca,intermediate,,90,,classic,46.3395663,11.4513292
141,31261421,way,Fanti,easy,,91,,classic,46.3438528,11.4551617
142,31261451,way,,easy,,,,classic,46.343356,11.4531099
143,31261455,way,La Rocca,intermediate,,90,,mogul,46.3421644,11.4524818
144,31261481,way,,intermediate,,,,classic,46.3509926,11.4488753
145,31724460,way,Marchner,easy,,28,no,classic,46.7350908,11.9838976
146,31724461,way,Pré da Peres 32 V,intermediate,,32,,,46.7174524,11.9680442
147,31724462,way,Pre da Peres 32,intermediate,,32R,,classic,46.7193269,11.9671596
148,31724463,way,Col Toron,intermediate,,34,no,classic,46.718677,11.9646341
149,31724466,way,Piz de Plaies,intermediate,,41,no,classic,46.6966397,11.915661
150,32126456,way,Salere,intermediate,,1,,,46.4729534,11.8672826
