restaurantId,osmId,name,cuisine,phone,website,municipality,address,postcode,nearResort,distanceToResort_km,latitude,longitude
1,61100894,Gasthof Laurin,,,https://gasthof-laurin.com/,,,,24 Laurin I,4.6,46.466007,11.5305153
2,123517898,Frickhof,,+39 0473 656 119,https://www.frickhof.com,,Passeirer Straße - Via Passiria 31,39015,Saxner II,4.8,46.8115272,11.2468581
3,247887464,Dal Boccia,pasta;pizza;regional;seafood,+39 0461 437903,,,Via degli Alberti Poja 13,31822,3-Tre Vaneze,6.1,46.0718261,11.1404686
4,258441546,"Pizzeria ""Le palme""",pizza,+39 0464 411201,,,Via Panizza 56,,Palon,12.3,45.9171651,11.0531014
5,259973562,Il bosco incantato,,+39 0461 960826,,Trento,Via del Lavaron 2,31821,3-Tre Vaneze,8.7,46.1096102,11.1402622
6,261081683,Agritur,,,,,,,Alpe Cermis,4.3,46.2789911,11.4354671
7,261086637,Pizzeria La Ruota,,,,,,,Alpe Cermis,5.3,46.2712502,11.417343
8,267649391,Crown,pizza,,,Mezzocorona,Via Fratelli Grandi,38016,La Rocca,7.2,46.2148653,11.1168418
9,268421250,Ristorante Argentino ¨Sapori di Patagonia¨,,,,,,,Pradis_ci,9.6,46.0856765,11.2153436
10,268430904,Dalla Sora Giovanna,,+39 0461 095967,https://dallasoragiovanna.it/,Trento,Via Roggia Grande 8,31822,3-Tre Vaneze,4.7,46.0674055,11.1243864
11,268432521,Trattoria Al Tino,,,,Trento,Via Santissima Trinitá 10,31822,3-Tre Vaneze,4.6,46.066267,11.1229923
12,268435080,Trattoria Al Mercato,,,,Trento,Piazza Giovanni Battista Garzetti 15,31822,3-Tre Vaneze,4.6,46.0659754,11.1238802
13,268435081,Borgo Nuovo Trento,fish;pizza,+39 0461 261375,http://3portoni.it/,Trento,Prima Androna di Borgo Nuovo 20,31822,3-Tre Vaneze,4.6,46.0658302,11.1236344
14,268803099,Agritur Maso Sorte,regional,,,,,,Alpe Cermis,3.6,46.2779665,11.4452067
15,269145543,Alla Grotta,swiss,+39 0464 553244,http://allagrotta.com,Arco,Via Monte Brione 5,38062,Centro Sci di Fondo Chinaec,11.0,45.8949163,10.8702292
16,269193687,Al Vesuvio,italian,+39 0461 987303,https://ristorantepizzeria-alvesuvio.eatbu.com/?lang=en,Trento,Via della Malvasia 103,31822,3-Tre Vaneze,5.2,46.0752383,11.1251318
17,269193730,Birreria Pizzeria Pedavena,,+39 0461 986255,http://www.birreriapedavena.com,Trento,Piazza di Fiera 13,31822,3-Tre Vaneze,4.5,46.0647702,11.123413
18,269193732,Trattoria al Volt,italian;regional,+39 0461 983776,http://tienne.it/alvolt/,Trento,Via Santa Croce 16,31822,3-Tre Vaneze,4.5,46.0644782,11.1232307
19,269348445,Albergo Dolomiti,,,,,,,Pradis_ci,4.3,46.1601698,11.2345535
20,269356399,Pizzeria Anna,,,,,,,Pradis_ci,10.0,46.0683757,11.2539178
21,269358770,Pizzeria 4 Venti,,,,,,,Alpe Cermis,10.0,46.2620421,11.3546478
22,269512908,Pizzeria Primavera,pizza,+39 0461 239840,,Trento,Via del Suffragio 92,31822,3-Tre Vaneze,4.9,46.0707264,11.1246538
23,271009437,Ristorante alle Foci da Rita,regional,,,,,,Centro Sci di Fondo Chinaec,7.9,45.9120449,10.8365826
24,276665082,Piffinger Köpfl,,+39 0473 279 610,https://www.piffinger-koepfl.com/,Hafling - Avelengo,Piffingerweg - Via Piffing 16,39010,Falzeben 2,0.3,46.6769406,11.2554098
25,276923561,New Lido - Ristorante Pinseria,,,,,,,Pradis_ci,3.4,46.1339585,11.2571178
26,277697218,Dia Luna cafè pizzeria,pizza,+39 3517521236,,Pergine Valsugana,Via di Castel Rocca,38057,Pradis_ci,9.9,46.0848853,11.2100564
27,278461430,Nagler,,,,,,,Alta Badia Shop & Rental,3.0,46.6102115,11.8940268
28,278462651,San Linêrt,italian_pizza;local,,,,,,Alta Badia Shop & Rental,3.1,46.6112509,11.9000638
29,281692703,Malga Salanzada,regional,,,,,,Alpe Cermis,2.1,46.272539,11.4638938
30,282865095,Lorenzi Hütte,,+39 0474 592100,,,,,Kronplatz - Plan de Corones,4.9,46.744806,11.9909326
31,285976123,Malga Cambroncoi,regional,,,,,,Pradis_ci,2.4,46.1360828,11.3065372
32,286507919,Auerleger Alm - Malga Ora,,,,,,,Passo Lavazè,1.6,46.3537799,11.4654487
33,286834621,Schliniger Alm - Malga Slingia,regional,,,,,,Nordisches Skizentrum Schlinig - Centro sci nordico Slingia,1.9,46.7201809,10.4533457
34,287355831,Sandheim,italian,+39 0473 616166,https://www.sandheim.it/,,,,7,9.3,46.6241323,10.5959019
