resortId,osmId,name,municipality,website,phone,operator,latitude,longitude
1,244899868,Skigebiet Ratschings Jaufen,,,,,46.8529488,11.3034909
2,320974325,Kronplatz - Plan de Corones,,,,,46.7723826,11.9412494
3,325117827,Obereggen,,,,,46.3836787,11.5265894
4,595581141,Millegrobbe,,,,,45.935989,11.3201384
5,2755977739,Sport Schenk,Sëlva - Wolkenstein in Gröden - Selva di Val Gardena,www.sportschenk.it,+39 0471 795238,Ruth Schenk,46.5536966,11.7618774
6,3090948288,Lavazè,,,,,46.3548563,11.4924717
7,5316633023,albl,,,+39 333 1704059,,46.5138375,10.9338183
8,8078067992,Noleggio Sci Peio dai Maestri,Peio Fonti,https://www.noleggioscipeio.com/,+39 0463 753040,,46.3561707,10.6627901
9,8897189932,Centro Sci di Fondo Chinaec,Ledro,,,,45.9287059,10.7369847
10,11528521587,Alta Badia Shop & Rental,,https://altabadiasport.it,+390471847616,,46.5837277,11.9034247
11,12592471812,Centro Fondo Passo Coe,Passo coe Folgaria,https://www.supernordicskipass.it/#/snsCenter/265/Centro%20Fondo%20Passo%20Coe,+39 0464 720538,,45.8762511,11.2189778
12,12741878683,Sport Thöni,,https://www.sportthoeni.com,+39 0473 613080,,46.5199054,10.5962964
13,13045817493,Centro Fondo Millegrobbe,Luserna,https://www.malgamillegrobbe.it/it/attivita-inverno/centro-fondo,,,45.9364323,11.3201161
14,13152267587,Sci Club Valcampelle ASD,Scurelle,https://www.sciclubvalcampelle.it/,,,46.0639446,11.5068476
15,13152345235,Ski Revolution,,https://skirevolution.it,+393338068887,,46.1155948,11.6605405
16,13410766401,Centro fondo Val Campelle,Scurelle,,,,46.1473762,11.5173059
17,13542749901,Centro di fondo Vallunga,,https://www.suedtirol-dolomites.com/en/dolomites/winter/val-gardena/cross-country-skiing/cross-country-centre.html,,,46.5616942,11.7717249
18,22789203,16 Saxner II,,,,,46.8457211,11.2891164
19,22789291,Saxner I,,,,,46.8454402,11.2897366
20,22789301,Wasserfalleralm - Malga Cascata,,,,,46.8434605,11.2983945
21,24987937,Avez del Prinzep,,,,,45.953232,11.3097602
22,30804946,22 Frommer,,,,,46.4415328,11.5976153
23,30804947,24 Laurin I,,,,,46.4389803,11.5763565
24,42689120,Orso Bruno,,,,,46.2804038,10.823509
25,50844773,Busa del Vigo,,,,,46.2768585,10.8318141
26,50845485,Malghette,,,,,46.2691002,10.8307154
27,51553591,Laner,,,,,46.3697868,11.532236
28,51553597,Ochsenweide,,,,,46.3789682,11.5284283
29,51558959,Maierl,,,,,46.3650609,11.5393854
30,51646819,Absam,,,,,46.3627977,11.5395181
31,52390077,Verbindung Wasserfalleralm-Enzian,,,,,46.8461298,11.295605
32,52624810,Saxner II,,,,,46.8447194,11.2869404
33,52624813,Waldabfahrt,,,,,46.8553708,11.2985403
34,88601299,Muro Bucaneve,,,,,45.785509,10.922316
35,88601300,Cronel,,,,,45.7813728,10.9230579
36,88601304,Campeggio,,,,,45.7864037,10.9238156
37,88601311,Intermedia,,,,,45.7807117,10.9237772
38,88601320,Vallette,,,,,45.7803981,10.9244695
39,90938852,Cacciatori 2,,,,,46.1479943,11.018174
40,90938854,Olimpionica 3,,,,,46.1457633,11.023548
41,90938856,Rindole,,,,,46.1610017,11.0080731
42,90938858,Olimpionica 2 (H),,,,,46.151037,11.0198779
43,90938859,Olimpionica 1,,,,,46.1545874,11.010747
44,90938860,Cacciatori 1,,,,,46.1569668,11.0100885
45,90940506,Sant'Antonio 1,,,,,46.1402497,11.015689
46,91036485,Gaggia,,,,,46.1596379,11.0038162
47,91036487,Laghet,,,,,46.1613065,11.003553
48,91095431,Dosso Larici,,,,,46.1564185,11.0436162
49,91095433,Traliccio,,,,,46.146875,11.0291172
50,91095434,Tre-Tre (selletta),,,,,46.149059,11.0307327
51,91095435,La Rocca,,,,,46.1693334,11.050902
52,91095437,Panoramica,,,,,46.1437995,11.0379272
53,91095443,Nuvola Rossa,,,,,46.1575128,11.0478154
54,91097045,Salare,,,,,46.1416502,11.0196943
55,91097052,Skiweg conca d'argento,,,,,46.1408724,11.0222153
56,96579228,Ust,,,,,45.9562755,11.2902495
57,96579231,Bertoldi,,,,,45.9509067,11.2725415
58,96579232,Le Stock,,,,,45.9511812,11.270516
59,96579233,Tablat,,,,,45.9498799,11.2702033
60,96579235,Sonneck,,,,,45.9514269,11.2780429
61,96693485,Skiweg Nannufaro,,,,,45.9556381,11.2996934
62,99685095,Diretta Bucaneve,,,,,45.7835527,10.9176792
63,100064158,12 Enzian II,,,,,46.8446928,11.3003442
64,101713915,28,,,,,46.8177747,11.6621741
65,101713918,Family Slope,,,,,46.8285857,11.6656344
66,101713924,26,,,,,46.8523673,11.68303
67,101713926,27,,,,,46.812074,11.6575745
68,101713927,Gitsch,,,,,46.855726,11.68701
69,101713947,24,,,,,46.8446103,11.6819073
70,101713959,Nesselwiese,,,,,46.8417066,11.677594
71,101787475,Jochtal Talabfahrt,,,,,46.847071,11.6109176
72,101787477,Hinterberg,,,,,46.8409125,11.5999593
73,101787479,Schwandt,,,,,46.8454064,11.6381515
74,101787481,Tasa,,,,,46.8408589,11.6303129
