slopeId,osmId,name,difficulty,resort,ref,latitude,longitude
1,10039585,Malghetto,easy,Folgarida-Marilleva,6,46.2880054,10.8436781
2,20925570,,easy,Alta Badia Shop & Rental,51,46.6083717,11.8985936
3,20925989,Sponata,intermediate,Alta Badia Shop & Rental,24,46.598404,11.8995047
4,20925990,,intermediate,Alta Badia Shop & Rental,,46.5989847,11.9004152
5,22789203,16 Saxner II,intermediate,16 Saxner II,16,46.8457211,11.2891164
6,22789246,Verbindung Ratschungs Jaufen,easy,12 Enzian II,5,46.8438035,11.3159638
7,22789249,Kalcher Alm I,intermediate,Ratschings-Jaufen,7,46.8466286,11.3212941
8,22789257,Verbindung Jaufen-Ratschings,easy,Ratschings-Jaufen,6,46.8477507,11.3122602
9,22789260,,intermediate,Ratschings-Jaufen,,46.8469599,11.3089788
10,22789264,,intermediate,12 Enzian II,,46.8429865,11.3101886
11,22789291,Saxner I,intermediate,Saxner I,,46.8454402,11.2897366
12,22789301,Wasserfalleralm - Malga Cascata,intermediate,Wasserfalleralm - Malga Cascata,,46.8434605,11.2983945
13,22789311,Enzian I,intermediate,12 Enzian II,11,46.8436806,11.3038877
14,22789317,Piste 2C,intermediate,12 Enzian II,2c,46.8411152,11.3044027
15,22789335,,intermediate,Blosegg,,46.8478792,11.3041747
16,24310197,Pian Frataces,intermediate,Belvedere - Col Rodella - Passo Pordoi,6,46.4822185,11.8040946
17,24310357,Campolongo,intermediate,Arabba,29,46.5162063,11.8679309
18,24310390,Boè,intermediate,Sellaronda,1,46.5363035,11.8707348
19,24310434,Collegamento Sodlisia - Frara,easy,Sellaronda,36A,46.5490979,11.8441658
20,24310613,Val Setus,intermediate,Sellaronda,,46.5521629,11.8059948
21,24310615,Frara - Val Setus,intermediate,Sellaronda,,46.554261,11.8103453
22,24987937,Avez del Prinzep,advanced,Avez del Prinzep,16,45.953232,11.3097602
23,25549528,Sponata,intermediate,Alta Badia Shop & Rental,27,46.5923086,11.8929035
24,25549537,Sponata,intermediate,Alta Badia Shop & Rental,24,46.5972589,11.8976965
25,26465679,Larchpichl,easy,Falzeben 2,,46.6354986,11.0992173
26,26589678,,easy,Falzeben 2,,46.6323481,11.1044259
27,27109443,(53) Pradalago diretta,intermediate,Campiglio Dolomiti di Brenta,53,46.2462501,10.8245925
28,27175940,(76) Nube d'argento,easy,Campiglio Dolomiti di Brenta,76,46.2380011,10.8455265
29,27242815,(70) Spinale Direttissima,advanced,Campiglio Dolomiti di Brenta,70,46.2256333,10.8390025
30,27242909,Rododendro,intermediate,Skiweg Fossadei - Cioca 2,101,46.1665687,10.796873
31,27658699,Competition,advanced,Skiweg Fossadei - Cioca 2,102,46.1648881,10.7936726
32,27658700,Mandrel,intermediate,Skiweg Fossadei - Cioca 2,106,46.1753702,10.8127744
33,29202171,Panorama 2,intermediate,Klausberg - Monte Chiusetta,4,46.9812324,11.9792098
34,29202172,Panorama 1,advanced,Klausberg - Monte Chiusetta,4c,46.9773256,11.9758948
35,29202176,Klaussee I (K1),intermediate,Klausberg - Monte Chiusetta,2,46.9744613,11.9879752
36,29202177,Almboden,easy,Klausberg - Monte Chiusetta,5,46.9824439,11.9828479
37,29202302,Dureck (K2),intermediate,Klausberg - Monte Chiusetta,8a,46.9654948,12.0032838
38,29202663,Sonnklar,advanced,Speikboden,5a,46.9188487,11.9007561
39,29202664,Tottomandl,easy,Speikboden,6a,46.9225716,11.9033764
40,29202667,Seenock sun,advanced,Speikboden,3b,46.924424,11.8990503
41,29202668,Seenock,intermediate,Seenock sun,3a,46.9247998,11.8967966
42,29202670,Seenock,intermediate,Speikboden,3c,46.9237887,11.8983061
43,29204216,Brugger,easy,Klausberg - Monte Chiusetta,7,46.9929003,11.973909
44,29356805,(50) Pradalago Facile,easy,Malghette,50,46.2501448,10.8145774
45,29388231,,easy,Petersberg - Monte San Pietro,,46.3929479,11.3874586
46,29388232,,,Petersberg - Monte San Pietro,,46.3929665,11.3874159
47,29388233,,easy,Petersberg - Monte San Pietro,,46.3931897,11.389012
48,29494716,Oberholz,intermediate,Variante Oberholz,2,46.372245,11.5383425
49,29494926,Variante Absam,intermediate,Absam,6a,46.3623559,11.5457393
50,29495050,Collegamento Reiteralpe,easy,Absam,8a,46.3581401,11.5372138
51,29495226,Pampeago,easy,Absam,10,46.3515835,11.5393229
52,29496004,Val Todesca,intermediate,Latemar Dolomites,25,46.3458633,11.5428962
53,29503599,Salvan,easy,Buffaure - Ciampac,,46.4311234,11.7201513
54,29503600,Buffaure di Sotto,intermediate,Buffaure - Ciampac,,46.4311441,11.7204742
55,29503601,Buffaure Panorama,intermediate,Buffaure - Ciampac,,46.423754,11.717019
56,29550590,Belvedere,easy,Kronplatz - Plan de Corones,,46.7366949,11.9729054
57,29552826,Ruipa,easy,Kronplatz - Plan de Corones,,46.7446624,11.9783715
58,29552885,Pracken,easy,Kronplatz - Plan de Corones,,46.7510932,11.9877688
59,29559236,Gassl,intermediate,Kronplatz - Plan de Corones,,46.7450985,11.9811398
60,29559575,Alpen,easy,Kronplatz - Plan de Corones,,46.7473664,11.9785988
61,29897969,La Longia,intermediate,Val Gardena,,46.5912498,11.7170661
62,29919966,Fermeda 1,intermediate,Val Gardena,,46.5920246,11.7350777
63,29920096,Fermeda 1,intermediate,Val Gardena,,46.59893,11.7285263
64,29920101,Pitla Pela Variante,intermediate,Centro di fondo Vallunga,,46.5846499,11.7519026
65,29920155,Gran Pela,advanced,Centro di fondo Vallunga,,46.5834861,11.7482697
66,29996085,,intermediate,Bravo,,46.5423629,11.7191503
67,30001889,Ciampinoi 3,advanced,Sport Schenk,3,46.5451087,11.7519777
68,30001890,Ciampinoi - Piza Pranseies,intermediate,Sport Schenk,,46.5385775,11.7525317
69,30001896,Ciampinoi 5,intermediate,Sport Schenk,5,46.5362215,11.7536407
70,30002144,Saslong,advanced,Val Gardena,,46.5479676,11.7399654
71,30002173,Saslong B,intermediate,Val Gardena,,46.5496787,11.7403055
72,30002342,Tremor,advanced,Val Gardena,,46.5400105,11.7476315
73,30002730,Piz Sella 5,intermediate,Sport Schenk,,46.5343086,11.7523442
74,30002733,Piz Sella 5,intermediate,Sport Schenk,,46.5329111,11.7595804
75,30002736,Plan de Gralba,easy,Sport Schenk,,46.5334313,11.77063
76,30002738,Plan de Gralba,easy,Sport Schenk,,46.5328086,11.7704074
77,30005092,Martinelli,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.5055435,11.7449591
78,30005097,,intermediate,Belvedere - Col Rodella - Passo Pordoi,,46.5049777,11.7454046
79,30005103,Sas Betit,easy,Belvedere - Col Rodella - Passo Pordoi,,46.5163638,11.7631387
80,30007267,Tramans,intermediate,Val Gardena,,46.5332095,11.7433958
81,30007395,Alpha,advanced,Val Gardena,,46.5429122,11.7229978
82,30007449,,intermediate,Val Gardena,,46.5396208,11.7249231
83,30007527,Bravo,intermediate,Val Gardena,,46.5431961,11.721923
84,30074420,Vallon,advanced,Sellaronda,1,46.5236831,11.8559301
85,30074423,Boé,intermediate,Alta Badia,1,46.5483877,11.8716678
86,30074424,Variante,easy,Alta Badia,45A,46.5638822,11.8560911
87,30074427,Forcelles,intermediate,Sellaronda,50,46.5610512,11.8458355
88,30074429,Sodlisia,easy,Sellaronda,36,46.5501114,11.8492369
89,30074432,Stella Alpina,easy,Alta Badia,49,46.565328,11.8518586
90,30074434,Colfosco 2,easy,Alta Badia,45,46.5581064,11.8536754
91,30074436,Roby,easy,Alta Badia,19,46.5553246,11.9032423
92,30074437,La Fraina,intermediate,Dolomiti Superski,23,46.558365,11.917913
93,30074438,Bamby,easy,Alta Badia,24,46.5684545,11.9164169
94,30074439,Gran Risa,advanced,Alta Badia Shop & Rental,,46.5729854,11.9032077
95,30074443,Jardinaccia A,intermediate,Alta Badia Shop & Rental,26,46.5873013,11.8917495
96,30074444,Jardinaccia B,easy,Alta Badia Shop & Rental,25,46.5861041,11.8942691
97,30074445,Colfosco 2,easy,Sellaronda,45,46.5536969,11.8525501
98,30074446,Colfosco 2,easy,Sellaronda,45,46.5515283,11.8539066
99,30074449,Pralongià variante,easy,Dolomiti Superski,8A,46.5371722,11.9025525
100,30074451,Pralongià II,easy,Dolomiti Superski,8,46.5365584,11.9019873
101,30074452,Seggiovia Pralongiá,easy,Dolomiti Superski,21B,46.5326606,11.9036324
102,30074453,Seggiovia Pralongiá - Pralongiá II,easy,Dolomiti Superski,8B,46.5362813,11.9052699
103,30074454,,easy,Dolomiti Superski,,46.5350697,11.904608
104,30074455,Biok - Pralongia II,easy,Dolomiti Superski,7,46.5431792,11.9070408
105,30074456,Biok,easy,Dolomiti Superski,13,46.550967,11.912574
106,30074457,,easy,Dolomiti Superski,14,46.5535689,11.9118132
107,30074458,,easy,Dolomiti Superski,28,46.5552139,11.9184198
108,30074459,La Brancia,easy,Alta Badia,15A,46.5575522,11.9098384
109,30074460,,easy,Alta Badia,,46.5528931,11.9066346
